_id,source,target,type
ObjectID(561e4c05ed7feda4f6e21783),"naissance-et-premiers-developpements-des-ecoles-deconomie-politique-chretienne-france-1815-1851","lauricella-marie","doctorant"
ObjectID(561e4c05ed7feda4f6e21784),"naissance-et-premiers-developpements-des-ecoles-deconomie-politique-chretienne-france-1815-1851","ecole-normale-superieure-ens-lyon","etablissement"
ObjectID(561e4c05ed7feda4f6e21785),"naissance-et-premiers-developpements-des-ecoles-deconomie-politique-chretienne-france-1815-1851","sciences-conomiques-et-gestion","ecole-doctorale"
ObjectID(561e4c05ed7feda4f6e21786),"naissance-et-premiers-developpements-des-ecoles-deconomie-politique-chretienne-france-1815-1851","frobert-ludovic","directeur"
ObjectID(561e4c05ed7feda4f6e21787),"naissance-et-premiers-developpements-des-ecoles-deconomie-politique-chretienne-france-1815-1851","bellet-michel","coencadrant"
ObjectID(561e4c05ed7feda4f6e21788),"pratiques-et-representations-feminines-de-la-lecture-1830-1848","isabelle-matamoros","doctorant"
ObjectID(561e4c05ed7feda4f6e21789),"pratiques-et-representations-feminines-de-la-lecture-1830-1848","universite-lumiere-lyon-2","etablissement"
ObjectID(561e4c05ed7feda4f6e2178a),"pratiques-et-representations-feminines-de-la-lecture-1830-1848","lettres-langues-linguistique-et-arts","ecole-doctorale"
ObjectID(561e4c05ed7feda4f6e2178b),"pratiques-et-representations-feminines-de-la-lecture-1830-1848","plante-christine","directeur"
ObjectID(561e4c05ed7feda4f6e2178c),"pratiques-et-representations-feminines-de-la-lecture-1830-1848","lire","coencadrant"
ObjectID(561e4c05ed7feda4f6e2178d),"reflexion-semantique-et-esthetique-autour-des-usages-cartographiques-xvii-xxie-pratiques-culturelles-croisees","morcrette-quentin","doctorant"
ObjectID(561e4c05ed7feda4f6e2178e),"reflexion-semantique-et-esthetique-autour-des-usages-cartographiques-xvii-xxie-pratiques-culturelles-croisees","universite-lumiere-lyon-2","etablissement"
ObjectID(561e4c05ed7feda4f6e2178f),"reflexion-semantique-et-esthetique-autour-des-usages-cartographiques-xvii-xxie-pratiques-culturelles-croisees","sciences-sociales","ecole-doctorale"
ObjectID(561e4c05ed7feda4f6e21790),"reflexion-semantique-et-esthetique-autour-des-usages-cartographiques-xvii-xxie-pratiques-culturelles-croisees","lefort-isabelle","directeur"
ObjectID(561e4c05ed7feda4f6e21791),"reflexion-semantique-et-esthetique-autour-des-usages-cartographiques-xvii-xxie-pratiques-culturelles-croisees","guichard-eric","coencadrant"
ObjectID(561e4c05ed7feda4f6e21792),"projet-inter-arc-analyse-de-graphes-dynamiques-application-aux-donnees-velov-inter-arc-arc-6-tic-et-usages-informatiques-innovants","ronan-hamon","doctorant"
ObjectID(561e4c05ed7feda4f6e21793),"projet-inter-arc-analyse-de-graphes-dynamiques-application-aux-donnees-velov-inter-arc-arc-6-tic-et-usages-informatiques-innovants","ecole-normale-superieure-ens-lyon","etablissement"
