_id,name,type,slug,acronyme,start,end,axe.id,bddLink
ObjectID(561e4c05ed7feda4f6e21afc),"FROBERT Ludovic","personne","frobert-ludovic","","","",,""
ObjectID(561e4c05ed7feda4f6e21afd),"BELLET Michel","personne","bellet-michel","","","",,""
ObjectID(561e4c05ed7feda4f6e21afe),"LAURICELLA Marie ","personne","lauricella-marie","","","",,""
ObjectID(561e4c05ed7feda4f6e21aff),"PLANTE Christine","personne","plante-christine","","","",,""
ObjectID(561e4c05ed7feda4f6e21b00),"LIRE","personne","lire","","","",,""
ObjectID(561e4c05ed7feda4f6e21b01),"Isabelle Matamoros ","personne","isabelle-matamoros","","","",,""
ObjectID(561e4c05ed7feda4f6e21b02),"LEFORT Isabelle","personne","lefort-isabelle","","","",,""
ObjectID(561e4c05ed7feda4f6e21b03),"GUICHARD Eric","personne","guichard-eric","","","",,""
ObjectID(561e4c05ed7feda4f6e21b04),"MORCRETTE Quentin","personne","morcrette-quentin","","","",,""
ObjectID(561e4c05ed7feda4f6e21b05),"FLANDRIN Patrick","personne","flandrin-patrick","","","",,""
ObjectID(561e4c05ed7feda4f6e21b06),"Robardet Céline, MCF INSA-Lyon","personne","robardet-celine-mcf-insa-lyon","","","",,""
ObjectID(561e4c05ed7feda4f6e21b07),"Ronan Hamon","personne","ronan-hamon","","","",,""
ObjectID(561e4c05ed7feda4f6e21b08),"personne-8087","personne","personne-8087","","","",,""
ObjectID(561e4c05ed7feda4f6e21b09),"Borgnat Pierre, CR CNRS","personne","borgnat-pierre-cr-cnrs","","","",,""
ObjectID(561e4c05ed7feda4f6e21b0a),"personne-93501","personne","personne-93501","","","",,""
ObjectID(561e4c05ed7feda4f6e21b0b),"GARCIN-MARROU	 Isabelle ","personne","garcin-marrou-isabelle","","","",,""
ObjectID(561e4c05ed7feda4f6e21b0c),"RAMPON Jean-Michel","personne","rampon-jean-michel","","","",,""
ObjectID(561e4c05ed7feda4f6e21b0d),"Mathias VALEX","personne","mathias-valex","","","",,""
ObjectID(561e4c05ed7feda4f6e21b0e),"GRANGEAT Michel","personne","grangeat-michel","","","",,""
ObjectID(561e4c05ed7feda4f6e21b0f),"Lepareur Céline","personne","lepareur-celine","","","",,""
ObjectID(561e4c05ed7feda4f6e21b10),"CARTELLIER Dominique","personne","cartellier-dominique","","","",,""
ObjectID(561e4c05ed7feda4f6e21b11),"Isabelle Pailliart","personne","isabelle-pailliart","","","",,""
ObjectID(561e4c05ed7feda4f6e21b12),"LAVIEC Edith ","personne","laviec-edith","","","",,""
ObjectID(561e4c05ed7feda4f6e21b13),"Tutin  Agnès","personne","tutin-agnes","","","",,""
ObjectID(561e4c05ed7feda4f6e21b14),"JACQUES  Marie-Paule","personne","jacques-marie-paule","","","",,""
ObjectID(561e4c05ed7feda4f6e21b15),"Sylvain HATIER","personne","sylvain-hatier","","","",,""
ObjectID(561e4c05ed7feda4f6e21b16),"ROUX Sophie","personne","roux-sophie","","","",,""
ObjectID(561e4c05ed7feda4f6e21b17),"Hector DELGADO FERNÁNDEZ","personne","hector-delgado-fernandez","","","",,""
ObjectID(561e4c05ed7feda4f6e21b18),"DROST Vincent","personne","drost-vincent","","","",,""
ObjectID(561e4c05ed7feda4f6e21b19),"ESTIOT Sylviane","personne","estiot-sylviane","","","",,""
ObjectID(561e4c05ed7feda4f6e21b1a),"DUFOUR Eric","personne","dufour-eric","","","",,""
ObjectID(561e4c05ed7feda4f6e21b1b),"Médélice Jeanine Elisa ","personne","medelice-jeanine-elisa","","","",,""
ObjectID(561e4c05ed7feda4f6e21b1c),"D'AMICO  Silvia","personne","damico-silvia","","","",,""
ObjectID(561e4c05ed7feda4f6e21b1d),"BAUDINO Isabelle ","personne","baudino-isabelle","","","",,""
ObjectID(561e4c05ed7feda4f6e21b1e),"GUILHEMBET  Jean-Pierre ","personne","guilhembet-jean-pierre","","","",,""
ObjectID(561e4c05ed7feda4f6e21b1f),"Méaux Danièle","personne","meaux-daniele","","","",,""
ObjectID(561e4c05ed7feda4f6e21b20),"BOGALSKA MARTIN  Ewa","personne","bogalska-martin-ewa","","","",,""
ObjectID(561e4c05ed7feda4f6e21b21),"RÉGNIER Philippe","personne","regnier-philippe","","","",,""
ObjectID(561e4c05ed7feda4f6e21b22),"VIALLON Marie","personne","viallon-marie","","","",,""
ObjectID(561e4c05ed7feda4f6e21b23),"MAGUÉ Jean-Philippe","personne","mague-jean-philippe","","","",,""
ObjectID(561e4c05ed7feda4f6e21b24),"Volpilhac-Auger  Catherine","personne","volpilhac-auger-catherine","","","",,""
ObjectID(561e4c05ed7feda4f6e21b25),"FILI TULLON Touriya ","personne","fili-tullon-touriya","","","",,""
ObjectID(561e4c05ed7feda4f6e21b26),"LEBARBE  Thomas","personne","lebarbe-thomas","","","",,""
ObjectID(561e4c05ed7feda4f6e21b27),"MERCKLE Pierre","personne","merckle-pierre","","","",,""
ObjectID(561e4c05ed7feda4f6e21b28),"Jensen Pablo","personne","jensen-pablo","","","",,""
ObjectID(561e4c05ed7feda4f6e21b29)," VERNANT  Denis","personne","vernant-denis","","","",,""
ObjectID(561e4c05ed7feda4f6e21b2a),"CITTON Yves","personne","citton-yves","","","",,""
ObjectID(561e4c05ed7feda4f6e21b2b),"GOFFETTE Jérôme","personne","goffette-jerome","","","",,""
ObjectID(561e4c05ed7feda4f6e21b2c),"NGUYEN  Céline","personne","nguyen-celine","","","",,""
ObjectID(561e4c05ed7feda4f6e21b2d),"BORDEAUX Marie-Christine ","personne","bordeaux-marie-christine","","","",,""
ObjectID(561e4c05ed7feda4f6e21b2e),"ROY  Jean-Michel","personne","roy-jean-michel","","","",,""
ObjectID(561e4c05ed7feda4f6e21b2f),"Reboul Anne","personne","reboul-anne","","","",,""
ObjectID(561e4c05ed7feda4f6e21b30),"SIMON Jonathan","personne","simon-jonathan","","","",,""
ObjectID(561e4c05ed7feda4f6e21b31),"HENRICH Nathalie","personne","henrich-nathalie","","","",,""
ObjectID(561e4c05ed7feda4f6e21b32),"BARA Olivier","personne","bara-olivier","","","",,""
ObjectID(561e4c05ed7feda4f6e21b33),"personne-23293","personne","personne-23293","","","",,""
ObjectID(561e4c05ed7feda4f6e21b34),"LETOUBLON   Françoise","personne","letoublon-francoise","","","",,""
ObjectID(561e4c05ed7feda4f6e21b35),"personne-50681","personne","personne-50681","","","",,""
ObjectID(561e4c05ed7feda4f6e21b36),"BERTRAND  Gilles","personne","bertrand-gilles","","","",,""
ObjectID(561e4c05ed7feda4f6e21b37),"BESSON Grégoire","personne","besson-gregoire","","","",,""
ObjectID(561e4c05ed7feda4f6e21b38),"RAUTENBERG Michel","personne","rautenberg-michel","","","",,""
ObjectID(561e4c05ed7feda4f6e21b39),"personne-92038","personne","personne-92038","","","",,""
